Users,Age,Gender,Occupation,level of Student (If Student),Region,Smartphone owner,SmartPhone duration?,Smartphone daily,Smartphone usage Select all that apply,Applications frquently use,Daily phone check,Productive Usage ,Activities Using Phone,Efficiency Of Phone,Use Productive Apps,Productive Applications,Smartphone Distraction Frequency,Productivity Affecting Activities,Smartphone Productivity Impact,Smartphone Usage Impact,Smartphone Usage Management Strategies,Productivity Usage Challenges,Productivity Improvement Suggestions
11,18-25,Female,Student,Undergraduate,Littoral ,Yes,More than 6 years,6-8 hrs,"Online Shopping;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities",WhatsApp;TikTok;YouTube,Almost constantly,Often,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Business activities;Research and information gathering,Moderately,Yes,Google Calendar;Notes applications;AI tools,Sometimes,Watching videos,Strongly agree,"Yes, positively",Turning off notifications;Keeping the phone away while working/Studying,Notifications distractions ,
12,18-25,Female,Student,Undergraduate,West Region,Yes,1-3 years,More than 8 hours,"Communication (calls, messages);Education/Learning;Entertainment (videos, games, music)",WhatsApp;YouTube;Learning Apps;Work/productivity apps,Almost constantly,Always,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Research and information gathering,Moderately,Yes,Notes applications;AI tools,Sometimes,Watching videos,Agree,"Yes, positively",I do not manage my usage,Too many resource out there and most productivity apps do not function as you wished,Make productivity apps easier to use
13,Under 18,Male,Student,Undergraduate,West,Yes,1-3 years,4-6 hrs,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music)",WhatsApp;Facebook;TikTok;YouTube;Other,Occassionally,Often,Reading/Studying;Online courses,Moderately,No,,Often,Watching videos,Neutral,"Yes, positively",Turning off notifications,Les messages,Désactiver les notifications 
14,18-25,Female,Student,Undergraduate,,Yes,Less than an 1 year,4-6 hrs,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music);Other",WhatsApp;Learning Apps,Every hour,Sometimes,Reading/Studying;Online courses,Moderately,Yes,AI tools,Often,Watching videos,Neutral,No significant change,Keeping the phone away while working/Studying,"Notifications, TikTok, WhatsApp, Instagram... 5 min deviennent 1 heure. Le téléphone est fait pour capter mon attention.","Désactiver les notifications inutiles : Garde seulement les appels, messages importants, et applis de travail"
15,18-25,Male,Student,Undergraduate,West,Yes,1-3 years,2-4 hrs,"Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music);Other",WhatsApp;TikTok;YouTube;Email apps;Learning Apps;Work/productivity apps,Rarely,Often,Reading/Studying;Online courses;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Moderately,Yes,"Google Calendar;Notes applications;Microsoft Office/Google Workspace;Task management apps(Todoist, Trello, etc);AI tools",Sometimes,Watching videos,Disagree,"Yes, positively",I do not manage my usage,"The main challenges include distractions from notifications, limited screen size, slower typing, battery life, restricted multitasking, file management difficulties, dependence on internet connectivity, and the temptation to switch to non-work apps.""",I think smartphones would be more productive if there were fewer distractions from notifications. Better battery life would also help because I don't want to keep worrying about charging my phone. It would be nice if work apps were easier to use and if organizing files was simpler. I also think having a better way to stay focused without constantly switching to social media would make a big difference.
16,18-25,Male,Student,Undergraduate,southwest,Yes,1-3 years,More than 8 hours,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;Email apps,Every hour,Always,Reading/Studying;Online courses;Managing schedules/calendars;Sending work emails;Research and information gathering;Collaboration with others,Extremely,Yes,"Google Calendar;Task management apps(Todoist, Trello, etc);AI tools",Sometimes,Messaging,Strongly agree,"Yes, positively",Turning off notifications;Keeping the phone away while working/Studying,constantly feel th need to check my phone,"try limiting unnecessary exposure to social media apps like facebook and tiktok most especially if u dont use them for working
"
17,18-25,Male,Employed,Graduate,West,Yes,4-6 years,2-4 hrs,"Communication (calls, messages);Social Media;Work/Business activities",WhatsApp;Facebook;YouTube,Occassionally,Often,Reading/Studying;Collaboration with others,Moderately,Yes,Google Calendar;Notes applications;Microsoft Office/Google Workspace,Often,Watching videos,Agree,"Yes, positively",Turning off notifications;Setting screen time limits;Keeping the phone away while working/Studying,"Smartphone distractions, excessive notifications, and the temptation to use social media can sometimes reduce my concentration and productivity.","People should use productivity tools, limit unnecessary notifications, and develop healthy smartphone habits. Smartphones should be used mainly as tools for learning, communication, and professional tasks rather than sources of distraction."
18,18-25,Male,Self-employed,Postgraduate,Northwest Region ,Yes,More than 6 years,6-8 hrs,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Instagram;YouTube,Almost constantly,Often,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Business activities;Research and information gathering;Collaboration with others,Very much,Yes,"Google Calendar;Microsoft Office/Google Workspace;Task management apps(Todoist, Trello, etc);AI tools",Sometimes,Notifications,Strongly agree,"Yes, positively",Turning off notifications;Setting screen time limits,I find some productivity app more comfortable to use on my PC instead.,No smart phones should be allowed for tasks that will not need the use of phones 
19,18-25,Female,Student,Undergraduate,West,Yes,More than 6 years,More than 8 hours,"Social Media;Entertainment (videos, games, music)",WhatsApp;YouTube,Several times per hour,Sometimes,Reading/Studying;Research and information gathering,Very much,Yes,Google Calendar,Always,Social media,Neutral,"Yes, negatively",Turning off notifications;Setting screen time limits;Using focus mode;Keeping the phone away while working/Studying,I can easily get distracted,keep it away when trying to work
20,26-35,Male,Umemployed,Not Applicable,North West,Yes,More than 6 years,More than 8 hours,"Banking/financial services;Communication (calls, messages);Work/Business activities",WhatsApp;Email apps;Work/productivity apps,Several times per hour,Always,Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Slightly,No,,Never,Messaging,Neutral,No significant change,Using focus mode,I don't face any challenge,
21,18-25,Male,Student,Undergraduate,Center,Yes,More than 6 years,More than 8 hours,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Instagram;TikTok;YouTube,Almost constantly,Sometimes,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Sending work emails;Research and information gathering;Collaboration with others,Slightly,Yes,Google Calendar;Notes applications,Always,Social media,Neutral,"Yes, negatively",Turning off notifications;Setting screen time limits;Keeping the phone away while working/Studying,Social media distraction ,
22,26-35,Male,Umemployed,Postgraduate,North West Region,Yes,More than 6 years,4-6 hrs,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Entertainment (videos, games, music);Other",WhatsApp;YouTube;Learning Apps;Other,Several times per hour,Often,Reading/Studying;Taking notes;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others;AI,Very much,Yes,Notes applications;AI tools,Often,Notifications,Agree,"Yes, positively",Turning off notifications;Using focus mode,I get distracted alot and there's limit to how much the smartphone does as opposed to a computer,Social media usage time reduced to minimal and softwares should be built to simulate pc Apps
23,18-25,Female,Employed,,Ouest ,Yes,1-3 years,6-8 hrs,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;YouTube;Work/productivity apps,Every hour,Always,Reading/Studying;Online courses;Taking notes;Research and information gathering,Moderately,Yes,AI tools,Often,Watching videos,Agree,"Yes, positively",Keeping the phone away while working/Studying,La batterie se décharge rapidement ,Améliorer la durée de la batterie 
24,26-35,Male,Student,Postgraduate,Centre,Yes,1-3 years,4-6 hrs,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music);Other",WhatsApp;Facebook;Instagram;TikTok;Email apps;Learning Apps,Almost constantly,Often,Reading/Studying;Taking notes;Sending work emails;Collaboration with others,Very much,Yes,Google Calendar;Notes applications;AI tools,Often,Social media,Neutral,"Yes, positively",Setting screen time limits,La distraction,Je sais pas
25,18-25,Male,Student,Undergraduate,West,Yes,More than 6 years,6-8 hrs,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",Other,Every hour,Often,Taking notes;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Extremely,Yes,AI tools,Rarely,Notifications,Strongly agree,"Yes, positively",Turning off notifications,"Just the regular notification alerts , which I solve by turning them off",
26,18-25,Female,Student,Undergraduate,Buea ,Yes,4-6 years,6-8 hrs,"Communication (calls, messages);Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;TikTok;YouTube;Email apps,Every hour,Often,Online courses;Managing schedules/calendars;Sending work emails;Research and information gathering;Collaboration with others,Very much,Yes,Google Calendar;Notes applications;AI tools,Often,Messaging,Agree,"Yes, positively",Turning off notifications;Keeping the phone away while working/Studying,The ads pops up,"Reduce the ads pop up, it distract and it shows some contents that distract people "
27,18-25,Male,Student,Undergraduate,North West ,Yes,4-6 years,6-8 hrs,"Social Media;Education/Learning;Entertainment (videos, games, music);Other",WhatsApp;Facebook;TikTok;Other,Occassionally,Rarely,Online courses;Taking notes,Slightly,Yes,Google Calendar,Sometimes,Gaming,Neutral,No significant change,I do not manage my usage,I don't know ,
28,18-25,Male,Student,Postgraduate,Northwest ,Yes,More than 6 years,More than 8 hours,"Online Shopping;Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music);Other",WhatsApp;Instagram;TikTok;YouTube;Email apps;Learning Apps;Work/productivity apps;Other,Several times per hour,Always,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Research and information gathering;Collaboration with others,Very much,Yes,Google Calendar;Notes applications;AI tools,Sometimes,Social media,Strongly agree,"Yes, positively",Keeping the phone away while working/Studying;,"Smaller screen, some apps don't run smoothly, storage issues",Better phone quality and upgrades
29,18-25,Male,Self-employed,,Littoral,Yes,More than 6 years,More than 8 hours,"Online Shopping;Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music);Other",Work/productivity apps,Several times per hour,Always,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others;,Not at all,Yes,Google Calendar,Always,Social media,Agree,"Yes, positively",I do not manage my usage,Network problem ,The producers should increase the intelligence of the smartphones to let us go deeper in our research 
30,18-25,Male,Student,Undergraduate,North West,Yes,More than 6 years,6-8 hrs,"Entertainment (videos, games, music)",WhatsApp;Facebook;Instagram;TikTok;YouTube;Email apps,Several times per hour,Sometimes,Research and information gathering,Moderately,Yes,AI tools,Always,Gaming,Neutral,"Yes, negatively",I do not manage my usage,Low battery,Better battery 
31,18-25,Female,Student,Graduate,Littoral ,Yes,4-6 years,4-6 hrs,"Online Shopping;Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;TikTok,Several times per hour,Often,Reading/Studying;Online courses;Taking notes;Managing schedules/calendars;Business activities;Research and information gathering,Very much,No,,Sometimes,Social media,Neutral,"Yes, positively",I do not manage my usage,"Poor Battery and performance, distraction from notifications,  short screen ","Limite notification, improve on battery so it can last more longer, "
32,36-45,Male,Self-employed,,,Yes,1-3 years,More than 8 hours,"Communication (calls, messages);Social Media;Work/Business activities",WhatsApp;YouTube;Email apps;Work/productivity apps,Every hour,Always,Reading/Studying;Taking notes;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Very much,Yes,Microsoft Office/Google Workspace;AI tools,Always,Social media,Agree,"Yes, positively",Turning off notifications;Using focus mode,Non,Repartir le temps d'utilisation du smartphone
33,18-25,Female,Student,Graduate,Littoral ,Yes,4-6 years,6-8 hrs,"Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;YouTube;Other,Almost constantly,Often,Reading/Studying;Online courses;Taking notes;Business activities;Research and information gathering,Moderately,Yes,Notes applications;AI tools,Sometimes,Social media,Agree,No significant change,Turning off notifications;Using focus mode;Keeping the phone away while working/Studying,Distraction ,
34,18-25,Male,Student,Undergraduate,West,Yes,More than 6 years,4-6 hrs,"Banking/financial services;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music);Other",WhatsApp;TikTok;YouTube;Work/productivity apps,Every hour,Always,Reading/Studying;Taking notes;Managing schedules/calendars;Sending work emails;Business activities;Research and information gathering;Collaboration with others,Extremely,Yes,Google Calendar;Notes applications;AI tools,Sometimes,Watching videos,Agree,"Yes, positively",Self discipline and control,Distractions ,Self discipline is key to efficient smartphone usage 
35,26-35,Male,Employed,Graduate,Yaoundé,Yes,More than 6 years,4-6 hrs,"Online Shopping;Communication (calls, messages);Social Media;Education/Learning;Work/Business activities;Entertainment (videos, games, music)",WhatsApp;Facebook;YouTube;Email apps;Work/productivity apps,Almost constantly,Always,Online courses;Managing schedules/calendars;Business activities;Research and information gathering;Collaboration with others,Moderately,Yes,"Google Calendar;Microsoft Office/Google Workspace;Task management apps(Todoist, Trello, etc);AI tools",Always,Social media,Strongly agree,"Yes, positively",Turning off notifications;Setting screen time limits;I use welbeing and  parental control to limit daily hour usage particularly for apps social media apps like facebook and whatsapp,Zeal to have the phone around for inernet connectivity on  my computer,"Time management through productuvity apps like todo list, activiate night mood, check welbeing and parental control for distraction apps"
,,,,,, ,,,,,,,,,,,,,,,,,
